source_event_id,event_name,event_date_iso,event_url
ufc-3123,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3122,UFC,2024-01-20,https://www.bestfightodds.com/events/ufc-3122
ufc-297-3106,UFC 297,2024-01-21,https://www.bestfightodds.com/events/ufc-297-3106
ufc-fight-night-3158,UFC Fight Night,2024-02-03,https://www.bestfightodds.com/events/ufc-fight-night-3158
road-to-ufc-3188,Road to UFC,2024-02-04,https://www.bestfightodds.com/events/road-to-ufc-3188
ufc-fight-night-3160,UFC Fight Night,2024-02-04,https://www.bestfightodds.com/events/ufc-fight-night-3160
ufc-3163,UFC,2024-02-10,https://www.bestfightodds.com/events/ufc-3163
ufc-3194,UFC,2024-02-11,https://www.bestfightodds.com/events/ufc-3194
ufc-3156,UFC,2024-02-17,https://www.bestfightodds.com/events/ufc-3156
ufc-298-3112,UFC 298,2024-02-18,https://www.bestfightodds.com/events/ufc-298-3112
ufc-3162,UFC,2024-02-25,https://www.bestfightodds.com/events/ufc-3162
ufc-3193,UFC,2024-03-02,https://www.bestfightodds.com/events/ufc-3193
ufc-3157,UFC,2024-03-09,https://www.bestfightodds.com/events/ufc-3157
ufc-299-3155,UFC 299,2024-03-10,https://www.bestfightodds.com/events/ufc-299-3155
ufc-3192,UFC,2024-03-16,https://www.bestfightodds.com/events/ufc-3192
ufc-3206,UFC,2024-03-17,https://www.bestfightodds.com/events/ufc-3206
ufc-3202,UFC,2024-03-23,https://www.bestfightodds.com/events/ufc-3202
ufc-3174,UFC,2024-03-24,https://www.bestfightodds.com/events/ufc-3174
ufc-3225,UFC,2024-03-30,https://www.bestfightodds.com/events/ufc-3225
ufc-3173,UFC,2024-03-31,https://www.bestfightodds.com/events/ufc-3173
ufc-3230,UFC,2024-04-06,https://www.bestfightodds.com/events/ufc-3230
ufc-3159,UFC,2024-04-13,https://www.bestfightodds.com/events/ufc-3159
ufc-300-3205,UFC 300,2024-04-14,https://www.bestfightodds.com/events/ufc-300-3205
ufc-3252,UFC,2024-04-27,https://www.bestfightodds.com/events/ufc-3252
ufc-3260,UFC,2024-04-28,https://www.bestfightodds.com/events/ufc-3260
ufc-3231,UFC,2024-05-04,https://www.bestfightodds.com/events/ufc-3231
ufc-3271,UFC,2024-05-05,https://www.bestfightodds.com/events/ufc-3271
ufc-3238,UFC,2024-05-11,https://www.bestfightodds.com/events/ufc-3238
ufc-3278,UFC,2024-05-12,https://www.bestfightodds.com/events/ufc-3278
road-to-ufc-3305,Road to UFC,2024-05-18,https://www.bestfightodds.com/events/road-to-ufc-3305
ufc-3290,UFC,2024-05-18,https://www.bestfightodds.com/events/ufc-3290
road-to-ufc-3306,Road to UFC,2024-05-19,https://www.bestfightodds.com/events/road-to-ufc-3306
ufc-3270,UFC,2024-06-01,https://www.bestfightodds.com/events/ufc-3270
ufc-3269,UFC,2024-06-02,https://www.bestfightodds.com/events/ufc-3269
ufc-fight-night-3313,UFC Fight Night,2024-06-08,https://www.bestfightodds.com/events/ufc-fight-night-3313
ufc-3170,UFC,2024-06-09,https://www.bestfightodds.com/events/ufc-3170
ufc-3318,UFC,2024-06-15,https://www.bestfightodds.com/events/ufc-3318
ufc-3277,UFC,2024-06-22,https://www.bestfightodds.com/events/ufc-3277
ufc-3161,UFC,2024-06-29,https://www.bestfightodds.com/events/ufc-3161
ufc-303-3283,UFC 303,2024-06-30,https://www.bestfightodds.com/events/ufc-303-3283
ufc-3336,UFC,2024-07-13,https://www.bestfightodds.com/events/ufc-3336
ufc-fight-night-3363,UFC Fight Night,2024-07-14,https://www.bestfightodds.com/events/ufc-fight-night-3363
ufc-fight-night-3373,UFC Fight Night,2024-07-20,https://www.bestfightodds.com/events/ufc-fight-night-3373
ufc-fight-night-3372,UFC Fight Night,2024-07-21,https://www.bestfightodds.com/events/ufc-fight-night-3372
ufc-3374,UFC,2024-07-27,https://www.bestfightodds.com/events/ufc-3374
ufc-3307,UFC,2024-07-28,https://www.bestfightodds.com/events/ufc-3307
ufc-3320,UFC,2024-08-03,https://www.bestfightodds.com/events/ufc-3320
ufc-3406,UFC,2024-08-10,https://www.bestfightodds.com/events/ufc-3406
ufc-3407,UFC,2024-08-11,https://www.bestfightodds.com/events/ufc-3407
ufc-3410,UFC,2024-08-17,https://www.bestfightodds.com/events/ufc-3410
ufc-3350,UFC,2024-08-18,https://www.bestfightodds.com/events/ufc-3350
road-to-ufc-3442,Road to UFC,2024-08-24,https://www.bestfightodds.com/events/road-to-ufc-3442
ufc-3414,UFC,2024-08-24,https://www.bestfightodds.com/events/ufc-3414
ufc-3441,UFC,2024-08-25,https://www.bestfightodds.com/events/ufc-3441
ufc-3415,UFC,2024-09-07,https://www.bestfightodds.com/events/ufc-3415
ufc-3362,UFC,2024-09-08,https://www.bestfightodds.com/events/ufc-3362
ufc-306-3399,UFC 306,2024-09-14,https://www.bestfightodds.com/events/ufc-306-3399
ufc-3371,UFC,2024-09-15,https://www.bestfightodds.com/events/ufc-3371
ufc-3427,UFC,2024-09-28,https://www.bestfightodds.com/events/ufc-3427
