source_event_id,source_matchup_id,bookmaker_id,bookmaker_name,fighter_name,fighter_url,american_odds,event_name,event_date_iso,event_url
ufc-3123,33361,21,FanDuel,Johnny Walker,/fighters/johnny-walker-8542,+410,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33361,24,Caesars,Johnny Walker,/fighters/johnny-walker-8542,+400,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33361,25,BetRivers,Johnny Walker,/fighters/johnny-walker-8542,+410,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33361,20,BetWay,Johnny Walker,/fighters/johnny-walker-8542,+400,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33361,26,Unibet,Johnny Walker,/fighters/johnny-walker-8542,+410,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33361,23,BetMGM,Johnny Walker,/fighters/johnny-walker-8542,+375,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33361,22,DraftKings,Johnny Walker,/fighters/johnny-walker-8542,+390,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33361,21,FanDuel,Magomed Ankalaev,/fighters/magomed-ankalaev-7794,-550,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33361,24,Caesars,Magomed Ankalaev,/fighters/magomed-ankalaev-7794,-550,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33361,25,BetRivers,Magomed Ankalaev,/fighters/magomed-ankalaev-7794,-560,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33361,20,BetWay,Magomed Ankalaev,/fighters/magomed-ankalaev-7794,-549,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33361,26,Unibet,Magomed Ankalaev,/fighters/magomed-ankalaev-7794,-560,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33361,23,BetMGM,Magomed Ankalaev,/fighters/magomed-ankalaev-7794,-550,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33361,22,DraftKings,Magomed Ankalaev,/fighters/magomed-ankalaev-7794,-520,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33474,21,FanDuel,Gabriel Benitez,/fighters/gabriel-benitez-5295,+126,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33474,24,Caesars,Gabriel Benitez,/fighters/gabriel-benitez-5295,+143,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33474,25,BetRivers,Gabriel Benitez,/fighters/gabriel-benitez-5295,+125,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33474,20,BetWay,Gabriel Benitez,/fighters/gabriel-benitez-5295,+120,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33474,26,Unibet,Gabriel Benitez,/fighters/gabriel-benitez-5295,+125,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33474,23,BetMGM,Gabriel Benitez,/fighters/gabriel-benitez-5295,+130,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33474,22,DraftKings,Gabriel Benitez,/fighters/gabriel-benitez-5295,+130,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33474,21,FanDuel,Jim Miller,/fighters/jim-miller-265,-148,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33474,24,Caesars,Jim Miller,/fighters/jim-miller-265,-170,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33474,25,BetRivers,Jim Miller,/fighters/jim-miller-265,-155,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33474,20,BetWay,Jim Miller,/fighters/jim-miller-265,-145,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33474,26,Unibet,Jim Miller,/fighters/jim-miller-265,-155,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33474,23,BetMGM,Jim Miller,/fighters/jim-miller-265,-160,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33474,22,DraftKings,Jim Miller,/fighters/jim-miller-265,-166,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
