Year,Event,Date,FightID,Fighter1,Fighter2,Winner,FightOrder,WeightClass,Book,AmericanOdds1,AmericanOdds2,RawImplied1,RawImplied2,Overround,NoVigP1,NoVigP2,Confidence,PredictedWinner,Correct,OutcomeProbability,LogLossContribution,SourceURL,CrossBookMedianP1,ValidBooks,LiquidityRaw,LiquidityProxyWeight
2024,UFC,2024-01-13,09bde55e0cf4cecefd1b,Matthew Semelsberger,Preston Parsons,Preston Parsons,99,Welterweight Bout,BetMGM,100.0,-120.0,0.5,0.5454545454545454,1.0454545454545454,0.4782608695652174,0.5217391304347826,0.5217391304347826,Preston Parsons,1,0.5217391304347826,0.6505875661411494,https://www.bestfightodds.com/events/ufc-3123,0.5,7,2.6457513110645907,1.02882600201551
2024,UFC,2024-01-13,09bde55e0cf4cecefd1b,Matthew Semelsberger,Preston Parsons,Preston Parsons,99,Welterweight Bout,BetRivers,-114.0,-109.0,0.5327102803738317,0.5215311004784688,1.0542413808523006,0.5053020020359688,0.49469799796403124,0.5053020020359688,Matthew Semelsberger,0,0.49469799796403124,0.7038078077264808,https://www.bestfightodds.com/events/ufc-3123,0.5,7,2.6457513110645907,1.02882600201551
2024,UFC,2024-01-13,09bde55e0cf4cecefd1b,Matthew Semelsberger,Preston Parsons,Preston Parsons,99,Welterweight Bout,BetWay,-110.0,-110.0,0.5238095238095238,0.5238095238095238,1.0476190476190477,0.5,0.5,0.5,Matthew Semelsberger,0,0.5,0.6931471805599453,https://www.bestfightodds.com/events/ufc-3123,0.5,7,2.6457513110645907,1.02882600201551
2024,UFC,2024-01-13,09bde55e0cf4cecefd1b,Matthew Semelsberger,Preston Parsons,Preston Parsons,99,Welterweight Bout,Caesars,-105.0,-115.0,0.5121951219512195,0.5348837209302325,1.0470788428814521,0.4891657638136511,0.5108342361863488,0.5108342361863488,Preston Parsons,1,0.5108342361863488,0.6717101324293401,https://www.bestfightodds.com/events/ufc-3123,0.5,7,2.6457513110645907,1.02882600201551
2024,UFC,2024-01-13,09bde55e0cf4cecefd1b,Matthew Semelsberger,Preston Parsons,Preston Parsons,99,Welterweight Bout,DraftKings,-130.0,100.0,0.5652173913043478,0.5,1.0652173913043477,0.5306122448979592,0.4693877551020409,0.5306122448979592,Matthew Semelsberger,0,0.4693877551020409,0.7563260821814768,https://www.bestfightodds.com/events/ufc-3123,0.5,7,2.6457513110645907,1.02882600201551
2024,UFC,2024-01-13,09bde55e0cf4cecefd1b,Matthew Semelsberger,Preston Parsons,Preston Parsons,99,Welterweight Bout,FanDuel,-102.0,-116.0,0.504950495049505,0.5370370370370371,1.0419875320865422,0.4846032025338729,0.515396797466127,0.515396797466127,Preston Parsons,1,0.515396797466127,0.6628181944693882,https://www.bestfightodds.com/events/ufc-3123,0.5,7,2.6457513110645907,1.02882600201551
2024,UFC,2024-01-13,09bde55e0cf4cecefd1b,Matthew Semelsberger,Preston Parsons,Preston Parsons,99,Welterweight Bout,Unibet,-114.0,-109.0,0.5327102803738317,0.5215311004784688,1.0542413808523006,0.5053020020359688,0.49469799796403124,0.5053020020359688,Matthew Semelsberger,0,0.49469799796403124,0.7038078077264808,https://www.bestfightodds.com/events/ufc-3123,0.5,7,2.6457513110645907,1.02882600201551
2024,UFC,2024-01-13,0d35dc46797421685d5e,Gabriel Benitez,Jim Miller,Jim Miller,99,Lightweight Bout,BetMGM,130.0,-160.0,0.43478260869565216,0.6153846153846154,1.0501672240802675,0.4140127388535032,0.5859872611464969,0.5859872611464969,Jim Miller,1,0.5859872611464969,0.5344572282992676,https://www.bestfightodds.com/events/ufc-3123,0.42236024844720504,7,2.6457513110645907,1.02882600201551
2024,UFC,2024-01-13,0d35dc46797421685d5e,Gabriel Benitez,Jim Miller,Jim Miller,99,Lightweight Bout,BetRivers,125.0,-155.0,0.4444444444444444,0.6078431372549019,1.0522875816993462,0.42236024844720504,0.5776397515527951,0.5776397515527951,Jim Miller,1,0.5776397515527951,0.5488048718312069,https://www.bestfightodds.com/events/ufc-3123,0.42236024844720504,7,2.6457513110645907,1.02882600201551
2024,UFC,2024-01-13,0d35dc46797421685d5e,Gabriel Benitez,Jim Miller,Jim Miller,99,Lightweight Bout,BetWay,120.0,-145.0,0.45454545454545453,0.5918367346938775,1.0463821892393321,0.43439716312056736,0.5656028368794326,0.5656028368794326,Jim Miller,1,0.5656028368794326,0.5698631487132144,https://www.bestfightodds.com/events/ufc-3123,0.42236024844720504,7,2.6457513110645907,1.02882600201551
2024,UFC,2024-01-13,0d35dc46797421685d5e,Gabriel Benitez,Jim Miller,Jim Miller,99,Lightweight Bout,Caesars,143.0,-170.0,0.411522633744856,0.6296296296296297,1.0411522633744856,0.3952569169960474,0.6047430830039525,0.6047430830039525,Jim Miller,1,0.6047430830039525,0.5029515673350848,https://www.bestfightodds.com/events/ufc-3123,0.42236024844720504,7,2.6457513110645907,1.02882600201551
2024,UFC,2024-01-13,0d35dc46797421685d5e,Gabriel Benitez,Jim Miller,Jim Miller,99,Lightweight Bout,DraftKings,130.0,-166.0,0.43478260869565216,0.6240601503759399,1.058842759071592,0.4106205619018215,0.5893794380981784,0.5893794380981784,Jim Miller,1,0.5893794380981784,0.5286850954455818,https://www.bestfightodds.com/events/ufc-3123,0.42236024844720504,7,2.6457513110645907,1.02882600201551
