Year,Period,Weighting,Book,N,AvailableFights,CoverageRate,N_d5,N_d10,Accuracy_d5,Accuracy_d10,LogLoss,AverageLogLikelihood,ECE_fixed20,ECE_percentile20,MeanConfidence,ObservedAccuracy,Eligible,Rank_Accuracy_d5,Rank_Accuracy_d10,Rank_LogLoss,Rank_ECE_fixed20,Rank_ECE_percentile20,MeanMetricRank,EligibleLogLossRank,EligibleCompositeRank
2024,2024,Equal,DraftKings,480,488,0.9836065573770492,428,342,0.7219626168224299,0.7456140350877193,0.5785680292088031,-0.5785680292088031,0.07245906776352144,0.08913082386917133,0.6699445895386739,0.70625,True,5.0,2.0,1.0,6.0,6.0,4.0,1.0,5.0
2024,2024,Equal,BetMGM,482,488,0.9877049180327869,433,343,0.7251732101616628,0.7434402332361516,0.5799537409691599,-0.5799537409691599,0.05565065759433584,0.07827761582290826,0.6698362237392844,0.7074688796680498,True,3.0,4.0,2.0,2.0,4.0,3.0,2.0,3.0
2024,2024,Equal,BetRivers,477,488,0.9774590163934426,417,340,0.7290167865707434,0.7441176470588236,0.5800702178043919,-0.5800702178043919,0.06489954472898592,0.0606810117816997,0.6653280384513646,0.7023060796645703,True,2.0,3.0,3.0,4.0,1.0,2.6,3.0,2.0
2024,2024,Equal,BetWay,487,488,0.9979508196721312,413,344,0.738498789346247,0.7558139534883721,0.5815428243860423,-0.5815428243860423,0.0611868765166237,0.06893574974820514,0.6631529317007154,0.7145790554414785,True,1.0,1.0,4.0,3.0,3.0,2.4,4.0,1.0
2024,2024,Equal,FanDuel,485,488,0.9938524590163934,430,349,0.7209302325581395,0.7392550143266475,0.5826163812656115,-0.5826163812656115,0.06676093560827429,0.07913164312899293,0.6696250618178435,0.709278350515464,True,6.0,6.0,5.0,5.0,5.0,5.4,5.0,6.0
2024,2024,Equal,Caesars,477,488,0.9774590163934426,428,353,0.7242990654205608,0.7393767705382436,0.5826284875482797,-0.5826284875482797,0.04509503550876243,0.06345665761251669,0.6742752659873075,0.7023060796645703,True,4.0,5.0,6.0,1.0,2.0,3.6,6.0,4.0
2024,2024,Equal,Unibet,174,488,0.35655737704918034,158,127,0.6772151898734177,0.7007874015748031,0.6013524921006276,-0.6013524921006276,0.11477988665975311,0.1207334188585157,0.6619338741793166,0.6781609195402298,False,7.0,7.0,7.0,7.0,7.0,7.0,,
2024,2024,Liquidity proxy,DraftKings,480,488,0.9836065573770492,428,342,0.7202636130127943,0.7454872602915409,0.5787691769705768,-0.5787691769705768,0.0706969048210346,0.09507819526059594,0.6693263365680617,0.7054135034651177,True,6.0,2.0,1.0,6.0,6.0,4.2,1.0,5.0
2024,2024,Liquidity proxy,BetWay,487,488,0.9979508196721312,413,344,0.7378914666112685,0.7579912868965478,0.5797156571135766,-0.5797156571135766,0.05915250337377829,0.07565123606044516,0.6623700021910433,0.7138038107172613,True,1.0,1.0,2.0,3.0,4.0,2.2,2.0,1.0
2024,2024,Liquidity proxy,BetMGM,482,488,0.9877049180327869,433,343,0.7242442560377452,0.7431985283294786,0.5799838110742825,-0.5799838110742825,0.05489872476951483,0.07404786636850388,0.669331604148841,0.7064068832621169,True,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0
2024,2024,Liquidity proxy,BetRivers,477,488,0.9774590163934426,417,340,0.7273005470854054,0.7448614768373935,0.580110760702758,-0.580110760702758,0.0637004884741474,0.06181068254424228,0.6649010158440861,0.7019974543080624,True,2.0,3.0,4.0,4.0,1.0,2.8,4.0,2.0
2024,2024,Liquidity proxy,FanDuel,485,488,0.9938524590163934,430,349,0.7206884052989865,0.7415818094950937,0.580771378772791,-0.580771378772791,0.06719332965445526,0.08792061359854719,0.6686626117173525,0.709185869187151,True,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0
2024,2024,Liquidity proxy,Caesars,477,488,0.9774590163934426,428,353,0.7234438277524161,0.7393623800246064,0.5825946236853419,-0.5825946236853419,0.04306866759696778,0.06371412570193803,0.6736902840956479,0.7015391848977377,True,4.0,6.0,6.0,1.0,2.0,3.8,6.0,4.0
2024,2024,Liquidity proxy,Unibet,174,488,0.35655737704918034,158,127,0.6783800375355592,0.705292733345527,0.5995268718984151,-0.5995268718984151,0.11533148479368176,0.11590978032485738,0.6614177246824711,0.6812176203769355,False,7.0,7.0,7.0,7.0,7.0,7.0,,
2025,2025,Equal,DraftKings,245,470,0.5212765957446809,223,178,0.6771300448430493,0.7191011235955056,0.5933953452735945,-0.5933953452735945,0.09386828133727866,0.09578231963354183,0.67675736540088,0.6571428571428571,True,7.0,2.0,1.0,7.0,7.0,4.8,1.0,5.0
2025,2025,Equal,Caesars,465,470,0.9893617021276596,413,348,0.6973365617433414,0.7183908045977011,0.5935328328553812,-0.5935328328553812,0.05176720063983186,0.047251679319080954,0.6793657188818251,0.6752688172043011,True,6.0,4.0,2.0,3.0,1.0,3.2,2.0,2.0
2025,2025,Equal,BetRivers,467,470,0.9936170212765958,408,341,0.6985294117647058,0.7243401759530792,0.594056543343237,-0.594056543343237,0.0480362866570398,0.06799217435455913,0.6736012752068561,0.6745182012847966,True,5.0,1.0,3.0,1.0,2.0,2.4,3.0,1.0
2025,2025,Equal,FanDuel,468,470,0.9957446808510638,417,347,0.7002398081534772,0.7146974063400576,0.5940903418417944,-0.5940903418417944,0.059952007426651854,0.08037091715683382,0.676002473166405,0.6730769230769231,True,4.0,6.0,4.0,5.0,4.0,4.6,4.0,4.0
2025,2025,Equal,BetWay,468,470,0.9957446808510638,393,341,0.7022900763358778,0.718475073313783,0.5945590418283715,-0.5945590418283715,0.050604494210151174,0.07849071876189741,0.6684279356881114,0.6773504273504274,True,3.0,3.0,5.0,2.0,3.0,3.2,5.0,2.0
2025,2025,Equal,BetMGM,244,470,0.5191489361702127,215,180,0.7023255813953488,0.7166666666666667,0.6052461051559738,-0.6052461051559738,0.06808566139694124,0.08370690818213271,0.6744830472841814,0.6721311475409836,True,2.0,5.0,6.0,6.0,5.0,4.8,6.0,5.0
2025,2025,Equal,Unibet,207,470,0.44042553191489364,176,153,0.7045454545454546,0.7124183006535948,0.6065625077665703,-0.6065625077665703,0.0583855228066812,0.09336759897350344,0.6687827850984118,0.6763285024154589,False,1.0,7.0,7.0,4.0,6.0,5.0,,
2025,2025,Liquidity proxy,DraftKings,245,470,0.5212765957446809,223,178,0.6754142513599308,0.7172822438046366,0.5945893176332532,-0.5945893176332532,0.09516186525461157,0.0987110277696719,0.6762672090156593,0.6548472054594145,True,7.0,3.0,1.0,7.0,6.0,4.8,1.0,6.0
