event_id,event_url,event_name,event_date,event_date_iso,event_location,fight_id,fight_url,fight_order,fighter_1_name,fighter_2_name,winner_name,result_code,weight_class,pair_key
eaea0fc7b76525a8,http://ufcstats.com/event-details/eaea0fc7b76525a8,,"February 10, 2024",2024-02-10,"Las Vegas, Nevada, USA",6aa518527baabb354e4e,,99,Max Griffin,Jeremiah Wells,Max Griffin,W,Welterweight Bout,"('jeremiah wells', 'max griffin')"
eaea0fc7b76525a8,http://ufcstats.com/event-details/eaea0fc7b76525a8,,"February 10, 2024",2024-02-10,"Las Vegas, Nevada, USA",ed61008fff23d0fb249a,,99,Trevin Giles,Carlos Prates,Carlos Prates,L,Welterweight Bout,"('carlos prates', 'trevin giles')"
eaea0fc7b76525a8,http://ufcstats.com/event-details/eaea0fc7b76525a8,,"February 10, 2024",2024-02-10,"Las Vegas, Nevada, USA",2e805a40165c58fe9926,,99,Bolaji Oki,Timmy Cuamba,Bolaji Oki,W,Lightweight Bout,"('bolaji oki', 'timmy cuamba')"
eaea0fc7b76525a8,http://ufcstats.com/event-details/eaea0fc7b76525a8,,"February 10, 2024",2024-02-10,"Las Vegas, Nevada, USA",d09bb840c26445b018ca,,99,Devin Clark,Marcin Prachnio,Marcin Prachnio,L,Light Heavyweight Bout,"('devin clark', 'marcin prachnio')"
eaea0fc7b76525a8,http://ufcstats.com/event-details/eaea0fc7b76525a8,,"February 10, 2024",2024-02-10,"Las Vegas, Nevada, USA",79b1fad1bf1dd01a7ab0,,99,Rodolfo Vieira,Armen Petrosyan,Rodolfo Vieira,W,Middleweight Bout,"('armen petrosyan', 'rodolfo vieira')"
eaea0fc7b76525a8,http://ufcstats.com/event-details/eaea0fc7b76525a8,,"February 10, 2024",2024-02-10,"Las Vegas, Nevada, USA",7f73f4b704c52cce7f7b,,99,Michael Johnson,Darrius Flowers,Michael Johnson,W,Lightweight Bout,"('darrius flowers', 'michael johnson')"
eaea0fc7b76525a8,http://ufcstats.com/event-details/eaea0fc7b76525a8,,"February 10, 2024",2024-02-10,"Las Vegas, Nevada, USA",737d67768667aa7beac4,,99,Brad Tavares,Gregory Rodrigues,Gregory Rodrigues,L,Middleweight Bout,"('brad tavares', 'gregory rodrigues')"
eaea0fc7b76525a8,http://ufcstats.com/event-details/eaea0fc7b76525a8,,"February 10, 2024",2024-02-10,"Las Vegas, Nevada, USA",f4e80aa52818764def00,,99,Dan Ige,Andre Fili,Dan Ige,W,Featherweight Bout,"('andre fili', 'dan ige')"
eaea0fc7b76525a8,http://ufcstats.com/event-details/eaea0fc7b76525a8,,"February 10, 2024",2024-02-10,"Las Vegas, Nevada, USA",f41cc62ee3a79aee41c5,,99,Robert Bryczek,Ihor Potieria,Ihor Potieria,L,Middleweight Bout,"('ihor potieria', 'robert bryczek')"
eaea0fc7b76525a8,http://ufcstats.com/event-details/eaea0fc7b76525a8,,"February 10, 2024",2024-02-10,"Las Vegas, Nevada, USA",06628d3426302f94265a,,99,Zac Pauga,Bogdan Guskov,Bogdan Guskov,L,Light Heavyweight Bout,"('bogdan guskov', 'zac pauga')"
eaea0fc7b76525a8,http://ufcstats.com/event-details/eaea0fc7b76525a8,,"February 10, 2024",2024-02-10,"Las Vegas, Nevada, USA",fea94bf868c91c54168e,,99,Loma Lookboonmee,Bruna Brasil,Loma Lookboonmee,W,Women's Strawweight Bout,"('bruna brasil', 'loma lookboonmee')"
