source_event_id,event_name,event_date_iso,event_url,source_matchup_id,fighter_1_name,fighter_2_name,fighter_1_url,fighter_2_url,pair_key,reason,candidate_count
ufc-3123,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123,33473,Manel Kape,Matheus Nicolau,/fighters/manel-kape-7510,/fighters/matheus-nicolau-5923,"('manel kape', 'matheus nicolau')",unmatched,0
ufc-3123,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123,33476,Ketlen Vieira,Macy Chiasson,/fighters/ketlen-vieira-6585,/fighters/macy-chiasson-8148,"('ketlen vieira', 'macy chiasson')",unmatched,0
road-to-ufc-3188,Road to UFC,2024-02-04,https://www.bestfightodds.com/events/road-to-ufc-3188,33934,Jiniushiyue,Rei Tsuruya,/fighters/jiniushiyue-15863,/fighters/rei-tsuruya-15872,"('jiniushiyue', 'rei tsuruya')",unmatched,0
road-to-ufc-3188,Road to UFC,2024-02-04,https://www.bestfightodds.com/events/road-to-ufc-3188,33935,Kaiwen Li,Zha Yi,/fighters/kaiwen-li-15871,/fighters/zha-yi-13926,"('kaiwen li', 'zha yi')",unmatched,0
road-to-ufc-3188,Road to UFC,2024-02-04,https://www.bestfightodds.com/events/road-to-ufc-3188,33936,Shin Haraguchi,Zhu Rong,/fighters/shin-haraguchi-15881,/fighters/zhu-rong-10936,"('shin haraguchi', 'zhu rong')",unmatched,0
road-to-ufc-3188,Road to UFC,2024-02-04,https://www.bestfightodds.com/events/road-to-ufc-3188,33937,Kaiwen Li,Yizha,/fighters/kaiwen-li-15871,/fighters/yizha-17111,"('kaiwen li', 'yizha')",unmatched,0
road-to-ufc-3188,Road to UFC,2024-02-04,https://www.bestfightodds.com/events/road-to-ufc-3188,33938,Rongzhu,Shin Haraguchi,/fighters/rongzhu-17112,/fighters/shin-haraguchi-15881,"('rongzhu', 'shin haraguchi')",unmatched,0
ufc-fight-night-3160,UFC Fight Night,2024-02-04,https://www.bestfightodds.com/events/ufc-fight-night-3160,33715,Aliaskhab Khizriev,Makhmud Muradov,/fighters/aliaskhab-khizriev-8002,/fighters/makhmud-muradov-8383,"('aliaskhab khizriev', 'makhmud muradov')",unmatched,0
ufc-3163,UFC,2024-02-10,https://www.bestfightodds.com/events/ufc-3163,33852,Daniel Marcos,Qileng Aori,/fighters/daniel-marcos-14365,/fighters/qileng-aori-10837,"('daniel marcos', 'qileng aori')",unmatched,0
ufc-3163,UFC,2024-02-10,https://www.bestfightodds.com/events/ufc-3163,33737,Aori Qileng,Daniel Marcos,/fighters/aori-qileng-13588,/fighters/daniel-marcos-14365,"('aori qileng', 'daniel marcos')",unmatched,0
ufc-298-3112,UFC 298,2024-02-18,https://www.bestfightodds.com/events/ufc-298-3112,33691,Marcin Tybura,Tai Tuivasa,/fighters/marcin-tybura-6200,/fighters/tai-tuivasa-7444,"('marcin tybura', 'tai tuivasa')",unmatched,0
ufc-298-3112,UFC 298,2024-02-18,https://www.bestfightodds.com/events/ufc-298-3112,33246,Alex Volkanovski,Alexsandre Topuria,/fighters/alex-volkanovski-6723,/fighters/alexsandre-topuria-15779,"('alex volkanovski', 'alexsandre topuria')",unmatched,0
ufc-298-3112,UFC 298,2024-02-18,https://www.bestfightodds.com/events/ufc-298-3112,33695,Justin Tafa,Marcos Rogerio de Lima,/fighters/justin-tafa-9315,/fighters/marcos-rogerio-de-lima-2779,"('justin tafa', 'marcos rogerio de lima')",unmatched,0
ufc-3162,UFC,2024-02-25,https://www.bestfightodds.com/events/ufc-3162,33746,Raul Rosas Jr,Ricky Turcios,/fighters/raul-rosas-jr-14405,/fighters/ricky-turcios-4236,"('raul rosas jr', 'ricky turcios')",unmatched,0
ufc-3162,UFC,2024-02-25,https://www.bestfightodds.com/events/ufc-3162,33985,Daniel da Silva,Edgar Chairez,/fighters/daniel-da-silva-13133,/fighters/edgar-chairez-9509,"('daniel da silva', 'edgar chairez')",unmatched,0
ufc-3162,UFC,2024-02-25,https://www.bestfightodds.com/events/ufc-3162,33914,Denys Bondar,Luis Rodriguez,/fighters/denys-bondar-10576,/fighters/luis-rodriguez-10230,"('denys bondar', 'luis rodriguez')",unmatched,0
ufc-3193,UFC,2024-03-02,https://www.bestfightodds.com/events/ufc-3193,33984,Jairzinho Rozenstruik,Shamil Gaziev,/fighters/jairzinho-rozenstruik-8218,/fighters/shamil-gaziev-12522,"('jairzinho rozenstruik', 'shamil gaziev')",unmatched,0
ufc-3193,UFC,2024-03-02,https://www.bestfightodds.com/events/ufc-3193,33981,Joel Alvarez,Ludovit Klein,/fighters/joel-alvarez-8910,/fighters/ludovit-klein-7610,"('joel alvarez', 'ludovit klein')",unmatched,0
ufc-3193,UFC,2024-03-02,https://www.bestfightodds.com/events/ufc-3193,34185,Brendon Marotte,Mohammad Yahya,/fighters/brendon-marotte-7869,/fighters/mohammad-yahya-7764,"('brendon marotte', 'mohammad yahya')",unmatched,0
